Categoría,Nombre de la base y/o conjunto de datos,Nombre de la tabla de la base de datos / hoja del conjunto de datos,Descripción de capa,Etiqueta del campo o variable,Descripció de Campo,"Tipo de dato
",Rango o valores que permite el campo,Clasificación de la información,Especificaciones y/o reglas de cálculo,Obligatoriedad del campo,Registro de campos vacíos ,Tipo de archivo:
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",OBJECTID,Número de identificación,Número entero,,Pública,,Obligatorio,Sin valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",DESCRIP,Año decretado del suelo de conservación,Texto,,Pública,,Obligatorio,Con valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",Sup_ha,Texto,Número entero,,Pública,,Obligatorio,Sin valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",SUP_HA_1,"Superficie en hectáreas
",Número entero,,Pública,,Obligatorio,Sin valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",cve_ent,"Clave de la Entidad Federativa
",Número entero,,Pública,,Obligatorio,Con valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",alcaldia,Nombre de la alcaldía,Texto,,Pública,,Obligatorio,Con valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",cve_col,Clave de colonia,Número entero,,Pública,,Obligatorio,Con valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",colonia,Nombre de la colonia,Texto,,Pública,,Obligatorio,Con valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",pob_2010,Población 2010,Número entero,,Pública,,Obligatorio,Con valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",SUP_COL_M2,Superficie en metros cuadras por colonia,Número con decimales,,Pública,,Obligatorio,Sin valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",NoMERCADO,Número de mercados,Número entero,,Pública,,Obligatorio,Sin valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",NoTIANGUIS,Número de tianguis,Número entero,,Pública,,Obligatorio,Sin valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",MERCTIANG,"Descripcion de Tianguis, mercado o ambos",Texto,,Pública,,Obligatorio,Con valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",C_MERTIANG,"Campo reclasificado en cuantiles con cinco rangos a partir del número de
mecados y tianguis en la colonia",Número entero,,Pública,,Obligatorio,Sin valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",Shape_Leng,Perímetro,Número con decimales,,Pública,,Obligatorio,Sin valores vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",bag_9,Concentración de mercados y tianguis en colonias en suelo de conservación en la Ciudad de México,"En esta base de datos podrás encontrar la concentración de mercados y tianguis en colonias ubicadas dentro del suelo de conservación de la Ciudad de México, como el número de mercados y tianguis que hay en cada una de estas.",Shape_Area,Área,Número con decimales,,Pública,,Obligatorio,Sin valores vacios,Shape file (.shp)
